27.5	27.5
29.1352	59.4
30.8677	188.467
32.7032	103.13
34.6478	106.33
36.7081	37
38.8909	113.8
41.2034	200.2
43.6535	87.13
46.2493	232.2
48.9994	151.13
51.9131	53
55	107.4
58.2705	113.8
61.7354	126.6
65.4064	69
69.2957	138.3
73.4162	142.6
77.7817	80.73
82.4069	249.267
87.3071	85
92.4986	275.93
97.9989	101
103.826	101
110	112.733
116.541	234.33
123.471	367.67
130.813	264.2
138.591	277
146.832	442.33
155.563	156.47
164.814	329.67
174.614	528.73
184.997	183.13
195.998	197
207.652	197
220	221.53
233.082	463.67
246.942	739.93
261.626	261
277.183	277
293.665	293
311.127	310.067
329.628	331.4
349.228	352.73
369.994	373
391.995	392.2
415.305	405
440	438.067
466.164	469
493.883	498.87
523.251	525.53
554.365	559.67
587.33	588.467
622.254	629
659.255	667.4
698.456	700.467
739.989	747.4
783.991	789
830.609	821
880	885
932.328	937.267
987.767	1000.2
1046.5	1048.2
1108.73	1125
1174.66	1189
1244.51	1260.467
1396.91	1424.73
1479.98	1525
1567.98	1573
1661.22	1685
1760	1765
1864.66	1918.6
1975.53	2005
2093	2101
2217.46	2325
2349.32	2453
2489.02	2597
2637.02	2757
2793.83	2938.33
2959.96	3147.4
3135.06	3147.4
3322.44	3381
3520	3669
3729.31	4005
3951.07	4005
4186.01	4005
